,Round,train_losses,accuracies
0,1,0.0022977617025375366,11.81
1,2,0.002292937994003296,10.73
2,3,0.002288691282272339,10.61
3,4,0.0022842833042144776,10.79
4,5,0.002277911925315857,13.23
5,6,0.0022686754465103148,14.32
6,7,0.0022574804306030273,15.37
7,8,0.002244767427444458,16.27
8,9,0.00223132483959198,20.23
9,10,0.0022159955501556395,21.78
10,11,0.0021991533279418947,22.66
11,12,0.0021801987409591677,22.71
12,13,0.002161748147010803,22.73
13,14,0.002144113302230835,22.97
14,15,0.0021289880275726317,23.22
15,16,0.0021148324728012084,23.58
16,17,0.0021013132333755494,23.61
17,18,0.002084469962120056,23.85
18,19,0.0020705734968185425,24.19
19,20,0.0020727599620819093,24.12
20,21,0.0020729007482528684,23.61
21,22,0.0020512177228927614,25.6
22,23,0.002035261917114258,27.91
23,24,0.002042957448959351,26.64
24,25,0.0020554925441741943,25.05
25,26,0.0020466514110565187,24.13
26,27,0.0020403430223464966,23.6
27,28,0.002034322428703308,24.58
28,29,0.0020086973190307617,26.74
29,30,0.001992101848125458,27.65
30,31,0.0019854679703712463,28.23
31,32,0.001991753876209259,27.77
32,33,0.0019906303524971007,28.07
33,34,0.0019980950117111204,28.23
34,35,0.002012022256851196,27.91
35,36,0.0020193694829940797,27.25
36,37,0.0020257510662078856,27.13
37,38,0.00200000638961792,28.24
38,39,0.0019737150192260743,29.53
39,40,0.001974540901184082,29.97
40,41,0.0019825435519218444,29.22
41,42,0.0019799837827682494,28.52
42,43,0.0019720719337463378,28.23
43,44,0.001959865355491638,28.56
44,45,0.0019552509546279908,29.09
45,46,0.001963292634487152,29.19
46,47,0.0019647521734237673,28.86
47,48,0.0019559521317481995,29.17
48,49,0.0019404435873031616,29.43
49,50,0.0019309261918067932,30.33
50,51,0.0019364718198776245,30.73
51,52,0.0019412059426307678,30.76
52,53,0.00194274080991745,29.78
53,54,0.00194400475025177,29.19
54,55,0.0019414818048477172,29.41
55,56,0.0019364226937294007,29.93
56,57,0.0019284191966056823,30.23
57,58,0.0019226805210113525,30.36
58,59,0.0019177958965301515,30.7
59,60,0.0019136294007301331,30.67
60,61,0.0019256848812103271,30.25
61,62,0.0019406962990760803,29.76
62,63,0.0019320870876312255,29.71
63,64,0.0019075260519981385,30.57
64,65,0.0018925094485282897,31.18
65,66,0.001900604236125946,31.63
66,67,0.0019026477694511414,31.67
67,68,0.0018904066681861877,32.13
68,69,0.0018710290431976319,32.4
69,70,0.0018583685398101807,32.97
70,71,0.0018520795226097107,33.46
71,72,0.0018535823941230774,33.42
72,73,0.0018538841366767882,33.55
73,74,0.0018485338568687438,33.32
74,75,0.0018525735974311828,33.49
75,76,0.0018554076433181762,33.53
76,77,0.0018465925931930541,33.77
77,78,0.0018377921462059022,33.44
78,79,0.0018383129000663757,32.95
79,80,0.001836815881729126,33.12
80,81,0.0018305238485336304,33.52
81,82,0.001821276330947876,33.85
82,83,0.0018193938493728638,33.84
83,84,0.001828048276901245,33.29
84,85,0.001833514618873596,32.54
85,86,0.0018354102253913878,32.07
86,87,0.0018315512537956237,32.9
87,88,0.0018329534769058228,34.02
88,89,0.001827565884590149,34.51
89,90,0.001808777093887329,34.18
90,91,0.0018042935252189636,33.49
91,92,0.0018355729699134826,32.61
92,93,0.0018562395572662353,32.58
93,94,0.0018467037081718444,32.99
94,95,0.001827828848361969,33.2
95,96,0.0018058587312698364,32.75
96,97,0.0018151798605918884,32.39
97,98,0.001821484351158142,32.98
98,99,0.0018000383019447326,33.83
99,100,0.0017736749291419982,34.85
100,101,0.0017704603433609009,34.41
101,102,0.0017861306548118592,32.78
102,103,0.0018078677415847779,31.01
103,104,0.0018103135585784912,30.95
104,105,0.0018000987648963927,32.43
105,106,0.0017792527556419373,33.53
106,107,0.0017702333807945252,34.03
107,108,0.001773143744468689,34.41
108,109,0.0017779353022575378,35.09
109,110,0.0017785969018936157,35.1
110,111,0.0017713289022445679,35.17
111,112,0.001760908603668213,36.01
112,113,0.00175585960149765,36.24
113,114,0.0017528442978858947,36.7
114,115,0.0017451219081878661,37.46
115,116,0.0017379222631454469,37.23
116,117,0.0017302823543548585,37.39
117,118,0.0017287816047668457,37.32
118,119,0.0017243525981903076,37.41
119,120,0.0017252335906028748,37.13
120,121,0.0017258350610733033,36.95
121,122,0.001725762414932251,36.71
122,123,0.0017190520167350769,37.28
123,124,0.0017065410375595093,38.18
124,125,0.001700751781463623,38.49
125,126,0.0016976374626159667,38.41
126,127,0.0016880338072776794,38.89
127,128,0.0016821249723434448,39.15
128,129,0.0016848017811775208,38.88
129,130,0.0016950494408607482,38.11
130,131,0.0016906566977500914,38.03
131,132,0.001683044731616974,38.27
132,133,0.0016771112322807311,38.81
133,134,0.0016718562960624695,39.23
134,135,0.0016696325778961182,39.25
135,136,0.0016769622087478638,38.99
136,137,0.0016763898491859437,38.6
137,138,0.0016674557209014893,38.59
138,139,0.0016637494087219239,39.02
139,140,0.0016708190202713012,38.5
140,141,0.0016701293706893922,38.55
141,142,0.0016673392415046692,38.7
142,143,0.0016594054341316222,38.71
143,144,0.0016556389808654785,39.11
144,145,0.001647896945476532,39.43
145,146,0.0016539814233779908,39.4
146,147,0.001654055678844452,39.72
147,148,0.0016555402874946594,39.59
148,149,0.0016582699775695802,39.6
149,150,0.0016594062566757202,39.73
150,151,0.001652124774456024,40.48
151,152,0.0016304040670394896,41.19
152,153,0.0016425770282745362,40.24
153,154,0.0016475029349327086,39.73
154,155,0.001645427131652832,39.68
155,156,0.0016403609037399292,40.48
156,157,0.0016320191144943237,41.36
157,158,0.0016311309456825257,41.1
158,159,0.0016609246373176575,39.27
159,160,0.0016788463473320007,38.49
160,161,0.0016721249341964722,38.86
161,162,0.0016333258867263793,40.28
162,163,0.0016265226006507874,40.42
163,164,0.0016378544092178345,39.88
164,165,0.0016431652426719665,39.39
165,166,0.0016331934571266174,39.8
166,167,0.001628299117088318,40.59
167,168,0.0016300422549247742,40.73
168,169,0.001625939631462097,40.34
169,170,0.0016333670377731324,39.55
170,171,0.0016308225154876709,39.09
171,172,0.0016224531173706055,39.69
172,173,0.0016278081178665161,40.09
173,174,0.0016265683650970458,40.46
174,175,0.0016158345818519592,40.61
175,176,0.0016021148800849914,40.99
176,177,0.001603259313106537,41.16
177,178,0.001622659134864807,40.49
178,179,0.0016285279154777527,39.69
179,180,0.0016224371314048768,40.25
180,181,0.0016244565844535828,40.25
181,182,0.001637582015991211,39.27
182,183,0.0016427809357643128,39.5
183,184,0.0016191426038742066,41.18
184,185,0.0016131804943084716,40.86
185,186,0.001620125710964203,39.71
186,187,0.0016127581238746644,39.47
187,188,0.0016208680510520935,39.29
188,189,0.001631873893737793,39.36
189,190,0.00164175523519516,39.53
190,191,0.001615755832195282,40.61
191,192,0.0015925212502479553,40.95
192,193,0.0016019819617271423,41.21
193,194,0.0016674835324287415,39.63
194,195,0.0016529449224472045,40.12
195,196,0.0016064621210098266,40.96
196,197,0.0016074470520019532,40.31
197,198,0.0016366268396377564,39.58
198,199,0.0016352964639663697,39.94
