Round,train_losses,accuracies
1,0.002371493077278137,10.06
2,0.002337219023704529,11.86
3,0.002280753517150879,14.89
4,0.0022381293296813965,19.58
5,0.0022048497676849365,19.78
6,0.002196175694465637,21.99
7,0.0021893831253051756,21.23
8,0.0021564395666122437,21.58
9,0.002109244155883789,23.48
10,0.0021035826444625854,22.44
11,0.0021226078271865843,22.26
12,0.0021971774816513063,21.17
13,0.0022024977922439574,20.91
14,0.00216498966217041,20.32
15,0.0021983250379562377,19.96
16,0.002258266711235046,21.27
17,0.0022054550170898437,24.49
18,0.0021520920991897584,26.02
19,0.002091978979110718,27.72
20,0.002178211236000061,27.98
21,0.002313515567779541,27.41
22,0.002297015309333801,28.18
23,0.0023382909297943117,28.27
24,0.0023004596710205077,28.61
25,0.0021529734611511232,29.92
26,0.0020856195926666258,30.83
27,0.0020191104769706728,31.85
28,0.0019534349918365478,33.48
29,0.001937143647670746,33.41
30,0.0019524147391319275,32.29
31,0.0020079716563224793,31.41
32,0.0019816317677497862,32.62
33,0.0020360907673835755,32.41
34,0.00201918625831604,33.16
35,0.0019929078102111815,34.0
36,0.0019119055032730103,34.95
37,0.0018415440559387207,37.58
38,0.0018318233132362366,36.37
39,0.0018564564347267152,35.83
40,0.001787460970878601,37.09
41,0.0017578206777572633,37.24
42,0.0017517837882041931,37.8
43,0.0017486237049102783,37.87
44,0.0017393140077590942,37.94
45,0.0017172725200653076,38.47
46,0.0016869723677635192,38.99
47,0.0016702741622924805,39.31
48,0.0016563753247261048,40.02
49,0.0016610804080963136,40.04
50,0.001674851369857788,39.84
51,0.0016922605633735656,39.68
52,0.0017089685678482055,39.03
53,0.0017546679258346558,37.56
54,0.0017791048169136048,37.52
55,0.001772593677043915,38.28
56,0.0017699036359786987,38.78
57,0.0017332362532615662,40.14
58,0.001696538519859314,40.9
59,0.0016557133555412293,41.06
60,0.0016377165913581849,41.86
61,0.0016441969275474548,41.25
62,0.0016397670030593873,41.58
63,0.0016079361796379088,43.11
64,0.0015894582509994506,44.19
65,0.0015658028721809386,45.3
66,0.001565174949169159,45.57
67,0.0016115010023117066,44.4
68,0.0016549881339073182,43.73
69,0.0016544600367546082,43.59
70,0.0016506661415100097,43.13
71,0.00162464439868927,42.85
72,0.0016080543160438537,42.92
73,0.001595975112915039,43.78
74,0.0015909309387207031,43.34
75,0.001553606951236725,43.84
76,0.0015386411786079406,43.52
77,0.0015139297008514405,44.64
78,0.0015110636472702027,45.1
79,0.0015422536730766297,44.03
80,0.001578062391281128,43.46
81,0.0016080676078796387,43.1
82,0.0016017056107521057,43.72
83,0.0015677193760871887,44.65
84,0.0015397580981254579,45.1
85,0.0015133998036384582,45.92
86,0.0014942271828651428,46.57
87,0.001509173595905304,46.62
88,0.0015737439393997193,44.8
89,0.001653575551509857,42.45
90,0.0016658062219619752,42.16
91,0.001608965015411377,43.33
92,0.0015794882535934448,43.99
93,0.0015616244196891785,44.9
94,0.0015554636478424073,45.06
95,0.0015486874103546142,45.34
96,0.0015666934847831727,45.27
97,0.0016276287198066712,44.7
98,0.0016963965296745301,43.54
99,0.0017533435344696045,42.5
100,0.001706095290184021,43.4
101,0.0016057818174362182,45.0
102,0.0015157825350761414,45.92
103,0.0014761258482933045,47.0
104,0.0015267744541168212,44.85
105,0.0015971805930137634,43.01
106,0.001542602825164795,44.43
107,0.001477724325656891,46.13
108,0.0014664627790451049,46.46
109,0.001511175310611725,45.39
110,0.001529132604598999,44.68
111,0.0015450617909431457,44.36
112,0.001559363055229187,43.69
113,0.0015963253617286683,42.42
114,0.001587938356399536,43.43
115,0.0015598504781723023,44.54
116,0.0015307057738304139,45.77
117,0.0015108884572982788,46.49
118,0.0014856319427490234,46.87
119,0.0014466600060462952,47.54
120,0.0014291424989700317,48.09
121,0.0014167358994483948,48.56
122,0.0014324562191963197,48.6
123,0.001479378306865692,47.12
124,0.0015303212642669678,45.62
125,0.0015305636405944824,45.6
126,0.0015180813670158386,45.66
127,0.0015038556337356567,46.05
128,0.001504025936126709,46.17
129,0.001481121850013733,46.51
130,0.0014735691547393798,46.25
131,0.0014506885170936584,46.55
132,0.00143155415058136,47.17
133,0.0014131416082382201,48.01
134,0.0014210698127746582,47.86
135,0.0014224340677261352,47.55
136,0.001411940038204193,48.01
137,0.0014044166564941406,48.6
138,0.0014152554154396057,48.48
139,0.001427215266227722,48.31
140,0.0014358644843101502,48.26
141,0.0014414279222488403,48.3
142,0.00143687242269516,48.93
143,0.0013920283436775207,50.08
144,0.001382598829269409,49.61
145,0.0014005679845809937,48.56
146,0.001410800528526306,48.49
147,0.0013946417927742005,49.54
148,0.0013629831671714782,50.94
149,0.0013568714022636414,51.57
150,0.0013712633609771728,51.13
151,0.0013898893475532532,50.59
152,0.001379433250427246,50.69
153,0.0013555155277252197,51.75
154,0.0013362775921821595,52.17
155,0.001337388586997986,51.86
156,0.0013377117753028869,52.25
157,0.0013293331623077393,52.49
158,0.0013325953364372253,51.69
159,0.0013490283250808717,50.54
160,0.0013632792711257935,49.81
161,0.001373798620700836,49.41
162,0.0013646252870559692,50.23
163,0.00138021981716156,49.81
164,0.0013896503925323487,49.85
165,0.0013881983995437622,49.88
166,0.0013720469117164613,49.5
167,0.001360267460346222,50.1
168,0.0013432614207267762,50.99
169,0.0013350655436515809,51.7
170,0.001333315920829773,51.24
171,0.0013465592861175537,50.39
172,0.0013457804560661317,50.56
173,0.0013362478017807007,51.37
174,0.0013134420752525329,52.38
175,0.001301625156402588,53.28
176,0.001296305215358734,53.74
177,0.0013100460290908814,53.08
