Round,train_losses,test_losses,accuracies,gradients
1,2.297006368637085,0.002303506302833557,11.82,0.3535295259419074
2,2.2928245067596436,0.0022856969594955445,10.0,0.4657598319523236
3,2.309412956237793,0.0022610646963119505,15.1,0.6974472758723915
4,2.251863956451416,0.00224762601852417,17.26,0.39858743585573003
5,2.231597423553467,0.002227000617980957,19.62,0.5450864000125383
6,2.277635097503662,0.0021970117568969726,22.73,0.6569061601881013
7,2.219834804534912,0.002167921781539917,23.51,0.7075967097888933
8,2.1764378547668457,0.002137517046928406,23.43,0.7352671708113058
9,2.104645013809204,0.0021080328226089477,25.59,0.990265894523011
10,2.0737054347991943,0.0020917475938797,25.01,0.9281441862806404
11,2.094961166381836,0.0020850915431976317,25.2,0.7885055818244254
12,2.081749200820923,0.0020601739406585695,25.39,1.738520077747372
13,2.0643398761749268,0.002036932039260864,26.69,1.1168939436271372
14,2.185248374938965,0.002015430963039398,28.61,1.7950348577050863
15,2.2313709259033203,0.0020029115200042723,30.33,1.4888422315326806
16,1.972122073173523,0.0020020929217338564,29.48,0.7370012019384669
17,2.0558929443359375,0.001994108772277832,30.18,1.0878387001277452
18,1.9604754447937012,0.001983559572696686,29.8,1.2534894584760143
19,1.9571317434310913,0.0019712490916252135,30.49,1.2069017873323555
20,1.9776062965393066,0.00195607647895813,30.27,1.0435445380833217
21,1.953721046447754,0.0019414740562438966,30.39,1.0815273394673772
22,1.8532259464263916,0.0019391318798065186,29.99,1.56237392422691
23,1.9725297689437866,0.0019482961535453797,29.2,1.2905083873384253
24,2.0517280101776123,0.001914318025112152,29.75,2.5337570700983534
25,1.9153485298156738,0.0019049978733062744,30.64,1.5705510632675808
26,1.8995954990386963,0.0019328717350959779,29.53,1.234585214354994
27,1.8839306831359863,0.0019198919415473938,30.13,2.076589846197465
28,1.9886159896850586,0.001882199227809906,32.25,2.9735087062592194
29,1.7899872064590454,0.0018919686675071717,32.52,1.743597660494954
30,1.967185378074646,0.0018977108120918273,31.87,2.112961497004694
31,1.8924742937088013,0.0018833313584327698,32.35,1.749577981924786
32,1.8247649669647217,0.0018682387709617614,32.77,1.2193000116905035
33,1.8845446109771729,0.0018671589136123657,33.45,2.0438556182536094
34,1.8331310749053955,0.0018909278512001038,33.07,1.1217046997761435
35,1.9153550863265991,0.001908843421936035,31.79,1.295079361977941
36,1.8968411684036255,0.001876352095603943,32.73,2.411651716140415
37,1.853676199913025,0.0018469365358352661,33.63,1.2190182121623236
38,1.8229613304138184,0.0018298250436782836,34.49,1.489918530613199
39,1.8499114513397217,0.0018307804822921753,33.94,1.0304301387757213
40,2.021632432937622,0.00183025541305542,34.09,2.419715506754921
41,1.8231439590454102,0.0018050818085670471,34.85,3.1287705838266744
42,1.8025816679000854,0.0018106088519096375,34.31,1.3808060635313886
43,1.6973968744277954,0.0018195068359375,34.05,1.459590119849285
44,1.8628208637237549,0.0017898449540138244,35.54,2.5352986690714854
45,1.7592915296554565,0.0017727439284324646,37.23,1.5349089883048563
46,1.6740164756774902,0.0017898896098136902,36.84,1.0260248842797883
47,1.805014967918396,0.001798778474330902,36.39,1.9578708485612117
48,1.792336344718933,0.0017811853408813477,36.53,1.9996060966215103
49,1.735762357711792,0.001761188817024231,36.74,1.655323007795257
50,1.8211156129837036,0.0017575546145439148,37.32,1.2835108259221122
51,1.8494036197662354,0.0017490448355674743,37.97,1.7301791250369396
52,1.6782749891281128,0.00174487806558609,37.18,1.533277870282365
53,1.8492108583450317,0.0017469935178756715,36.52,1.4766853404563047
